,title,company,date,job_url,salary,summary
14,Lead Software Engineer -iOS (100% Home Office),Empleos S,PostedHoy,https://mx.indeed.com/viewjob?ompany/Empleos-S/jobs/Software-engineer-c9ab4bd39afb80b8?fccid=6103d4877d0f8408&vjs=3,"Desde $65,000 por mes","100% Home Office Salary negotiable Responsibilities * Take ownership for the design, development, maintenance, of an iOS native team * Lead development…"
15,Lead Software Engineer -iOS (100% Home Office),Empleos S,PostedHoy,https://mx.indeed.com/viewjob?ompany/Empleos-S/jobs/Software-engineer-c9ab4bd39afb80b8?fccid=6103d4877d0f8408&vjs=3,"Desde $65,000 por mes","Familiarity with common algorithms, data structures and multithreading.Take ownership for the design, development, maintenance, of an iOS native team."
16,Adobe Commerce (Magento Developer),Perficient,PostedPublicado hace más de 30 días,https://mx.indeed.com/viewjob?jk=ff03ac0e10bff875&fccid=7affa64765ffaf8f&vjs=3,,"Solid foundation in Computer Science, with strong competencies in data structures, algorithms, and software design.Medical Insurance (Personal and Familiar)."
17,Senior iOS Developer - TV,Gorilla Logic,PostedPublicado hace 4 días,https://mx.indeed.com/viewjob?jk=004673f4605af905&fccid=b838251710713c3c&vjs=3,,"Experience working with remote data via REST and JSON.With offices in the United States, Costa Rica, Colombia and Mexico, Gorilla Logic helps clients gain…"
18,QA Automatización Java Senior || Home Office - Bilingüe,Techgenies México,PostedPublicado hace 1 días,https://mx.indeed.com/viewjob?ompany/Clarity-HR/jobs/Quality-assurance-analyst-212c40f9de592bd1?fccid=90734c528c239a51&vjs=3,"$45,000 a $55,000 por mes","Core competency in computer science: general programming, logic, problem-solving, data structures, algorithms, etc.Knowledge about ISTQB – Foundation level."
19,Automatización QA / SDET (Java) || Inglés B2 - Home Office,Techgenies México,PostedPublicado hace 12 días,https://mx.indeed.com/viewjob?ompany/Clarity-HR/jobs/Software-test-engineer-1667e863e7ccc4f0?fccid=90734c528c239a51&vjs=3,"$45,000 a $55,000 por mes","Core competency in computer science: general programming, logic, problem-solving, data structures, algorithms, etc.Knowledge about ISTQB – Foundation level."
20,Automatización QA / SDET || Remoto - Bilingüe (Inglés B2),Techgenies México,PostedPublicado hace más de 30 días,https://mx.indeed.com/viewjob?ompany/Clarity-HR/jobs/Software-test-engineer-02a7dc7f2bb7c472?fccid=90734c528c239a51&vjs=3,"$45,000 a $55,000 por mes","Core competency in computer science: general programming, logic, problem-solving, data structures, algorithms, etc.Knowledge about ISTQB – Foundation level."
21,Automatización QA Java (SDET) || Inglés B2 - Remoto,Techgenies México,PostedPublicado hace 10 días,https://mx.indeed.com/viewjob?ompany/Clarity-HR/jobs/Software-test-engineer-06ad98e28a3f4b40?fccid=90734c528c239a51&vjs=3,"$45,000 a $55,000 por mes","Core competency in computer science: general programming, logic, problem-solving, data structures, algorithms, etc.Knowledge about ISTQB – Foundation level."
22,QA Automation Engineer / SDET (Java) || Inglés B2 - Home Office,Techgenies México,PostedPublicado hace 14 días,https://mx.indeed.com/viewjob?ompany/Clarity-HR/jobs/Automation-engineer-defaf128702cca69?fccid=90734c528c239a51&vjs=3,"$45,000 a $55,000 por mes","Core competency in computer science: general programming, logic, problem-solving, data structures, algorithms, etc.Knowledge about ISTQB – Foundation level."
23,Web Scrapping Senior Python Developer (US$10-$20 ph - 5-10 h p/w Ongoing - WFH),Staffing Group,PostedPublicado hace 2 días,https://mx.indeed.com/viewjob?jk=d35f8d04a584a09b&fccid=718ef3f5b315431f&vjs=3,,"After which, he will transition to focus on machine learning and data science related projects.BONUS if you are interested and passionate about data science,…"
24,Senior Python Developer,Udalenno,PostedPublicado hace 4 días,https://mx.indeed.com/viewjob?ompany/Udalenno/jobs/Python-developer-64ef43df066ead70?fccid=d45a0fece91c5f0f&vjs=3,"$61,448 a $87,783 por mes","Develop code that needs to run efficiently to ingest the data we need to process.The ideal candidate will possess a robust background in Python programming,…"
25,SDET / QA Automation Engineer || Remoto - Bilingüe (Inglés B2),Techgenies México,PostedPublicado hace 26 días,https://mx.indeed.com/viewjob?ompany/Clarity-HR/jobs/Automation-engineer-1779a0896f90d1ad?fccid=90734c528c239a51&vjs=3,"$45,000 a $55,000 por mes","Core competency in computer science: general programming, logic, problem-solving, data structures, algorithms, etc.Knowledge about ISTQB – Foundation level."
26,Tech Lead - Senior .Net Full Stack Developer (Full Time - WFH- US$20 ph),Staffing Group,PostedPublicado hace 2 días,https://mx.indeed.com/viewjob?jk=7492ba6e3ee4eb7a&fccid=718ef3f5b315431f&vjs=3,,"Experience with machine learning, data science and big data (preferred).We also have some python based code and are progressively moving towards machine…"
27,"Staff Engineer, Data Science",Nagarro,PostedPublicado hace 21 días,https://mx.indeed.com/viewjob?jk=efc7872bed1db0a8&fccid=be57e01618911e92&vjs=3,,"Company Description We're Nagarro. We are a digital product engineering company that is scaling in a big way! We build products, services, and experiences…"
28,Data Science Analyst,Bright Exchange,PostedPublicado hace 1 días,https://mx.indeed.com/viewjob?jk=c4cbe5d93391607e&fccid=69fa31561cbf9e71&vjs=3,,"Experience in business intelligence projects, data analytics, or a related field.As the Business Intelligence Analyst, you will be responsible for overseeing…"
29,Data Science Trainee,Bond,PostedPublicado hace 8 días,https://mx.indeed.com/viewjob?ompany/BOND/jobs/Data-scientist-79a6f3584a91831e?fccid=43756764ed747869&vjs=3,"$6,000 a $9,000 por mes",Desarrollar y mantener modelos de análisis y crédito utilizando técnicas de data science.Pasión por el análisis de datos y el uso de técnicas de data science…
30,Code reviewer in Data Science,Practicum,PostedPublicado hace 16 días,https://mx.indeed.com/viewjob?jk=78832d24865e9279&fccid=2cf3a353f2ffbf6f&vjs=3,,"For the Data Science program, we are looking for an experienced data scientist to review our students and help them successfully become professionals."
31,"Data Science (remoto, necesario inglès avanzado)",Empleos S,PostedPublicado hace 30 días,https://mx.indeed.com/viewjob?ompany/Empleos-S/jobs/Data-scientist-e6ec260c279f1372?fccid=6103d4877d0f8408&vjs=3,,"Work with Data Governance to implement quality rules and data governance measures (data dictionary, metadata, traceability, ...).OS: Linux, and MS Windows."
32,Jr Data Scientist,Inviso,PostedHoy,https://mx.indeed.com/viewjob?jk=0f800f23afe308a5&fccid=c268c7d5e25b9c4d&vjs=3,,"Experience in data science projects applied in Marketing.The role requires an individual who can skillfully work with large datasets and databases, including…"
33,Junior FullStack Developer,Luxoft,PostedPublicado hace 24 días,https://mx.indeed.com/viewjob?jk=1ccfdaf7e07f9744&fccid=4b841d912d46e4fd&vjs=3,,"Write clean code utilizing object-oriented design principles, data structures and algorithms.Design, develop, debug and modify web services within flights'…"
34,Machine Learning Engineer,iKraft Solutions,PostedPublicado hace 11 días,https://mx.indeed.com/viewjob?ompany/iKraft-Solutions/jobs/Machine-learning-engineer-94621b0d50661801?fccid=130c9d9b434f3dde&vjs=3,"$75,000 a $95,000 por mes","Searching and selecting appropriate data sets before performing data collection and data modeling.Studying, transforming, and converting data science…"
35,Data Scientist,DESYSNET,PostedPublicado hace 7 días,https://mx.indeed.com/viewjob?ompany/DESYSNET/jobs/Data-scientist-c01ad992fbac25c0?fccid=f4e164b7d98264e4&vjs=3,"$45,000 a $50,000 por mes","Experiencia en programación (Python, PySpark o cualquier otro lenguaje relevante).Experiencia con pronósticos de series de tiempo (ARIMA, SARIMA, FbProphet y…"
36,Data Analytics Credit Risk,Working-Mexico-Headhunter,PostedPublicado hace 16 días,https://mx.indeed.com/viewjob?jk=f9260c9129da9826&fccid=eee20d1d2842ad4a&vjs=3,"$60,000 a $110,000 por año",Entender el riesgo crediticio y desarrollo de enfoques para mitigar pérdidas y aumentar los ingresos.+ 2 años de experiencia trabajando en posiciones como Risk…
37,Clinical Study Team Assistant I,Parexel,PostedPublicado hace 10 días,https://mx.indeed.com/viewjob?jk=23fc2cd73aeafa25&fccid=a2ce486f2a6b8708&vjs=3,,"Provide study level reporting to support management of clinical trial data, clinical trial budget and timelines.TMF maintenance, compliance, and oversight."
38,Assistant CRA,Thermo Fisher Scientific,PostedPublicado hace 2 días,https://mx.indeed.com/viewjob?jk=f6c83dba408d38c8&fccid=126e3afd205caa95&vjs=3,,Bachelor’s Degree in a life science-related field or relevant/equivalent formal academic/vocational qualification Clinical research experience would be an…
39,Trainee Software Engineer - Remote,Intugo,PostedPublicado hace más de 30 días,https://mx.indeed.com/viewjob?ompany/Intugo/jobs/Trainee-engineer-4c5c5c6a093d5042?fccid=c17c18621b36cc5f&vjs=3,"$18,000 por mes","You are interested in a career in software engineering, such as development, project management, quality assurance, data analysis, or data science."
40,SENIOR PROJECT MANAGER,Svitla Systems,PostedPublicado hace 9 días,https://mx.indeed.com/viewjob?jk=0ae33928b279c89d&fccid=2f27a82023b4a64f&vjs=3,,"Exposure as a Project Manager to IT infrastructure/data center technologies (server hardware and operating systems, networking technologies, etc.)."
41,BI Engineer (8 weeks project),EQUALS TRUE,PostedPublicado hace 2 días,https://mx.indeed.com/viewjob?jk=c84bfed12eb6d6f5&fccid=1bcb0fe5a750ff21&vjs=3,,Understand client's data sets and become a SME for data to support future data needs.Experience in understanding data models and able to analyze / join data to…
42,Software Engineer I (New graduates),Ellucian,PostedPublicado hace 29 días,https://mx.indeed.com/viewjob?jk=a0f15fcb0fb55bfe&fccid=298217a26e89e68e&vjs=3,,B.S degree in computer science or equivalent.Ellucian is looking for a talented Software Engineer I to work with the Ellucian Ethos Integration Team; a cloud…
43,Contracts Analyst 1,IQVIA,PostedPublicado hace 9 días,https://mx.indeed.com/viewjob?jk=90104d325f26fa7b&fccid=6b7a1dfe07e7f037&vjs=3,,"The Global Business Operations (GBO) team is a dynamic group with high visibility within IQVIA.GBO develops strategic proposals and budgets for our customers,…"
44,Senior Audio AI Engineer,Fusemachines,PostedHoy,https://mx.indeed.com/viewjob?jk=bf41985ae692ef45&fccid=b711a2a28448b767&vjs=3,,"Develop novel algorithms and models to solve complex problems at the intersection audio, acoustics, and data science.Familiar with audio source separation."
